('09/29/2023, 00:13:25', 'ecoinvent_cutoff_3.9', 'MaterialDemand_antimony', 'additions', 22, 'duration:', '0:00:00.237867')
('09/29/2023, 00:21:08', 'ecoinvent_cutoff_3.9', 'MaterialDemand_silicon', 'additions', 114, 'duration:', '0:00:01.770792')
('09/29/2023, 00:21:09', 'ecoinvent_cutoff_3.9', 'MaterialDemand_silver', 'additions', 46, 'duration:', '0:00:00.701682')
('09/29/2023, 00:21:09', 'ecoinvent_cutoff_3.9', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.031718')
('09/29/2023, 00:21:09', 'ecoinvent_cutoff_3.9', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.031696')
('09/29/2023, 00:21:09', 'ecoinvent_cutoff_3.9', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.076558')
('09/29/2023, 00:21:10', 'ecoinvent_cutoff_3.9', 'MaterialDemand_vegetable oil', 'additions', 34, 'duration:', '0:00:00.523351')
('09/29/2023, 00:23:43', 'ecoinvent_cutoff_3.9', 'MaterialDemand_water', 'additions', 10145, 'duration:', '0:02:33.619977')
('09/29/2023, 00:23:47', 'ecoinvent_cutoff_3.9', 'MaterialDemand_zinc', 'additions', 239, 'duration:', '0:00:03.614370')
('09/29/2023, 00:23:47', 'ecoinvent_cutoff_3.9', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.390500')
('09/29/2023, 00:23:47', 'ecoinvent_cutoff_3.9', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.236853')
('09/29/2023, 00:23:47', 'ecoinvent_cutoff_3.9', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.060739')
('09/29/2023, 00:23:54', 'ecoinvent_cutoff_3.9', 'waste_hazardous_cubicmeter', 'additions', 423, 'duration:', '0:00:06.422608')
('09/29/2023, 00:24:22', 'ecoinvent_cutoff_3.9', 'waste_hazardous_kilogram', 'additions', 1842, 'duration:', '0:00:27.722317')
('09/29/2023, 00:24:22', 'ecoinvent_cutoff_3.9', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.030926')
('09/29/2023, 00:24:50', 'ecoinvent_cutoff_3.9', 'waste_incineration_kilogram', 'additions', 1897, 'duration:', '0:00:28.564694')
('09/29/2023, 00:24:50', 'ecoinvent_cutoff_3.9', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.031046')
('09/29/2023, 00:25:12', 'ecoinvent_cutoff_3.9', 'waste_landfill_kilogram', 'additions', 1430, 'duration:', '0:00:21.681320')
('09/29/2023, 00:26:06', 'ecoinvent_cutoff_3.9', 'waste_non_hazardous_cubicmeter', 'additions', 3553, 'duration:', '0:00:53.826251')
('09/29/2023, 00:32:56', 'ecoinvent_cutoff_3.9', 'waste_non_hazardous_kilogram', 'additions', 27041, 'duration:', '0:06:50.050816')
('09/29/2023, 00:33:04', 'ecoinvent_cutoff_3.9', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:08.153349')
('09/29/2023, 00:33:06', 'ecoinvent_cutoff_3.9', 'waste_recycling_kilogram', 'additions', 129, 'duration:', '0:00:01.964071')
('09/29/2023, 00:34:06', 'ecoinvent_cutoff_3.9', 'waste_total_cubicmeter', 'additions', 3976, 'duration:', '0:00:59.797094')
('09/29/2023, 00:41:24', 'ecoinvent_cutoff_3.9', 'waste_total_kilogram', 'additions', 28883, 'duration:', '0:07:18.653521')
('09/29/2023, 00:42:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.241895')
('09/29/2023, 00:42:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.279865')
('09/29/2023, 00:42:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.165215')
('09/29/2023, 00:42:59', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_cement', 'additions', 1820, 'duration:', '0:00:18.087819')
('09/29/2023, 00:43:01', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:01.497660')
('09/29/2023, 00:43:02', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:01.074117')
('09/29/2023, 00:43:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_copper', 'additions', 972, 'duration:', '0:00:09.561027')
('09/29/2023, 00:50:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_electricity', 'additions', 31308, 'duration:', '0:07:27.838481')
('09/29/2023, 00:50:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.438874')
('09/29/2023, 00:50:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.045880')
('09/29/2023, 00:50:40', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.135338')
('09/29/2023, 00:50:40', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.456234')
('09/29/2023, 00:50:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.665080')
('09/29/2023, 00:50:41', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.140239')
('09/29/2023, 00:50:42', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.757270')
('09/29/2023, 00:50:42', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.151459')
('09/29/2023, 00:50:43', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.802257')
('09/29/2023, 00:52:24', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_natural gas', 'additions', 6647, 'duration:', '0:01:41.241929')
('09/29/2023, 00:52:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_nickel', 'additions', 359, 'duration:', '0:00:05.237207')
('09/29/2023, 00:52:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_palladium', 'additions', 35, 'duration:', '0:00:00.512813')
('09/29/2023, 00:52:33', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:02.914651')
('09/29/2023, 00:52:36', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.087895')
('09/29/2023, 00:52:38', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_platinum', 'additions', 163, 'duration:', '0:00:02.440591')
('09/29/2023, 00:52:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.480253')
('09/29/2023, 00:52:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.169601')
('09/29/2023, 00:52:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_sand', 'additions', 609, 'duration:', '0:00:09.231764')
('09/29/2023, 00:52:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.015824')
('09/29/2023, 00:52:50', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_silicon', 'additions', 127, 'duration:', '0:00:01.914429')
('09/29/2023, 00:52:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_silver', 'additions', 50, 'duration:', '0:00:00.760981')
('09/29/2023, 00:52:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.033373')
('09/29/2023, 00:52:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.031137')
('09/29/2023, 00:52:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.077473')
('09/29/2023, 00:52:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_vegetable oil', 'additions', 37, 'duration:', '0:00:00.579386')
('09/29/2023, 00:55:51', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_water', 'additions', 11815, 'duration:', '0:02:59.285814')
('09/29/2023, 00:55:54', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'MaterialDemand_zinc', 'additions', 253, 'duration:', '0:00:03.852738')
('09/29/2023, 00:55:55', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.391080')
('09/29/2023, 00:55:55', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.242750')
('09/29/2023, 00:55:55', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.062284')
('09/29/2023, 00:56:02', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_hazardous_cubicmeter', 'additions', 461, 'duration:', '0:00:07.138140')
('09/29/2023, 00:56:36', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_hazardous_kilogram', 'additions', 2245, 'duration:', '0:00:33.874544')
('09/29/2023, 00:56:36', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.031604')
('09/29/2023, 00:57:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_incineration_kilogram', 'additions', 3032, 'duration:', '0:00:45.818970')
('09/29/2023, 00:57:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.029859')
('09/29/2023, 00:57:48', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_landfill_kilogram', 'additions', 1724, 'duration:', '0:00:26.187690')
('09/29/2023, 00:58:56', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_non_hazardous_cubicmeter', 'additions', 4435, 'duration:', '0:01:08.094750')
('09/29/2023, 01:06:28', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_non_hazardous_kilogram', 'additions', 29775, 'duration:', '0:07:31.182044')
('09/29/2023, 01:06:35', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:07.908314')
('09/29/2023, 01:06:38', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_recycling_kilogram', 'additions', 150, 'duration:', '0:00:02.192972')
('09/29/2023, 01:07:52', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_total_cubicmeter', 'additions', 4896, 'duration:', '0:01:14.421016')
('09/29/2023, 01:15:58', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2030', 'waste_total_kilogram', 'additions', 32020, 'duration:', '0:08:05.478636')
('09/29/2023, 01:17:18', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.244756')
('09/29/2023, 01:17:18', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.278062')
('09/29/2023, 01:17:18', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.155424')
('09/29/2023, 01:17:36', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_cement', 'additions', 1820, 'duration:', '0:00:18.182355')
('09/29/2023, 01:17:38', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:01.539569')
('09/29/2023, 01:17:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:01.092055')
('09/29/2023, 01:17:49', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_copper', 'additions', 972, 'duration:', '0:00:09.653355')
('09/29/2023, 09:08:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_electricity', 'additions', 31308, 'duration:', '7:50:22.104188')
('09/29/2023, 09:08:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.434556')
('09/29/2023, 09:08:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.049064')
('09/29/2023, 09:08:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.133003')
('09/29/2023, 09:08:12', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.477198')
('09/29/2023, 09:08:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.662232')
('09/29/2023, 09:08:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.119934')
('09/29/2023, 09:08:14', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.769330')
('09/29/2023, 09:08:14', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.162374')
('09/29/2023, 09:08:15', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.837152')
('09/29/2023, 09:10:00', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_natural gas', 'additions', 6647, 'duration:', '0:01:45.584842')
('09/29/2023, 09:10:06', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_nickel', 'additions', 359, 'duration:', '0:00:05.664160')
('09/29/2023, 09:10:06', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_palladium', 'additions', 35, 'duration:', '0:00:00.534785')
('09/29/2023, 09:10:09', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:03.178140')
('09/29/2023, 09:10:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.347250')
('09/29/2023, 09:10:15', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_platinum', 'additions', 163, 'duration:', '0:00:02.637588')
('09/29/2023, 09:10:16', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.498030')
('09/29/2023, 09:10:16', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.182902')
('09/29/2023, 09:10:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_sand', 'additions', 609, 'duration:', '0:00:09.565090')
('09/29/2023, 09:10:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.015728')
('09/29/2023, 09:10:28', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_silicon', 'additions', 127, 'duration:', '0:00:02.140519')
('09/29/2023, 09:10:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_silver', 'additions', 50, 'duration:', '0:00:00.835070')
('09/29/2023, 09:10:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.045074')
('09/29/2023, 09:10:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.031900')
('09/29/2023, 09:10:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.085623')
('09/29/2023, 09:10:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_vegetable oil', 'additions', 37, 'duration:', '0:00:00.592242')
('09/29/2023, 09:13:34', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_water', 'additions', 11815, 'duration:', '0:03:04.642084')
('09/29/2023, 09:13:38', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'MaterialDemand_zinc', 'additions', 253, 'duration:', '0:00:03.993854')
('09/29/2023, 09:13:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.403698')
('09/29/2023, 09:13:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.252810')
('09/29/2023, 09:13:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.069931')
('09/29/2023, 09:13:46', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_hazardous_cubicmeter', 'additions', 461, 'duration:', '0:00:07.159616')
('09/29/2023, 09:14:21', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_hazardous_kilogram', 'additions', 2245, 'duration:', '0:00:35.251799')
('09/29/2023, 09:14:21', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.031125')
('09/29/2023, 09:15:09', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_incineration_kilogram', 'additions', 3032, 'duration:', '0:00:48.167035')
('09/29/2023, 09:15:09', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.032471')
('09/29/2023, 09:15:37', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_landfill_kilogram', 'additions', 1724, 'duration:', '0:00:27.107645')
('09/29/2023, 09:16:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_non_hazardous_cubicmeter', 'additions', 4435, 'duration:', '0:01:10.411903')
('09/29/2023, 09:24:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_non_hazardous_kilogram', 'additions', 29775, 'duration:', '0:07:42.583545')
('09/29/2023, 09:24:38', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:08.242149')
('09/29/2023, 09:24:40', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_recycling_kilogram', 'additions', 150, 'duration:', '0:00:02.327525')
('09/29/2023, 09:25:56', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_total_cubicmeter', 'additions', 4896, 'duration:', '0:01:15.685371')
('09/29/2023, 09:34:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2040', 'waste_total_kilogram', 'additions', 32020, 'duration:', '0:08:15.630438')
('09/29/2023, 09:35:37', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.245195')
('09/29/2023, 09:35:37', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.287103')
('09/29/2023, 09:35:37', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.157669')
('09/29/2023, 09:35:56', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_cement', 'additions', 1820, 'duration:', '0:00:18.166772')
('09/29/2023, 09:35:57', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:01.535767')
('09/29/2023, 09:35:58', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:01.104905')
('09/29/2023, 09:36:08', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_copper', 'additions', 972, 'duration:', '0:00:09.707059')
('09/29/2023, 09:43:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_electricity', 'additions', 31308, 'duration:', '0:07:18.100197')
('09/29/2023, 09:43:27', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.443744')
('09/29/2023, 09:43:27', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.049741')
('09/29/2023, 09:43:27', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.136966')
('09/29/2023, 09:43:27', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.472958')
('09/29/2023, 09:43:28', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.657992')
('09/29/2023, 09:43:28', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.117154')
('09/29/2023, 09:43:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.732809')
('09/29/2023, 09:43:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.154275')
('09/29/2023, 09:43:30', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.804219')
('09/29/2023, 09:45:11', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_natural gas', 'additions', 6647, 'duration:', '0:01:41.037870')
