('09/25/2023, 15:07:47', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.355014')
('09/25/2023, 15:22:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_hazardous_kilogram', 'additions', 2245, 'duration:', '0:00:37.205049')
('09/25/2023, 15:22:39', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.030825')
('09/25/2023, 15:23:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_incineration_kilogram', 'additions', 3032, 'duration:', '0:00:49.324925')
('09/25/2023, 15:23:29', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.032130')
('09/25/2023, 15:23:57', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_landfill_kilogram', 'additions', 1724, 'duration:', '0:00:27.947920')
('09/25/2023, 15:25:09', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_non_hazardous_cubicmeter', 'additions', 4435, 'duration:', '0:01:12.094896')
('09/25/2023, 15:33:13', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_non_hazardous_kilogram', 'additions', 29775, 'duration:', '0:08:04.145651')
('09/25/2023, 15:33:22', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:08.736587')
('09/25/2023, 15:33:24', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_recycling_kilogram', 'additions', 150, 'duration:', '0:00:02.371799')
('09/25/2023, 15:34:45', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_total_cubicmeter', 'additions', 4896, 'duration:', '0:01:20.678665')
('09/25/2023, 15:43:26', 'ecoinvent_cutoff_3.9_remind_SSP1-Base_2050', 'waste_total_kilogram', 'additions', 32020, 'duration:', '0:08:41.576402')
('09/25/2023, 15:44:43', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.364400')
('09/25/2023, 15:44:43', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.438774')
('09/25/2023, 15:44:43', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.215923')
('09/25/2023, 15:44:46', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:02.212845')
('09/25/2023, 15:44:47', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:01.592041')
('09/25/2023, 15:45:01', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_copper', 'additions', 971, 'duration:', '0:00:13.537392')
('09/25/2023, 15:53:01', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_electricity', 'additions', 31306, 'duration:', '0:08:00.405220')
('09/25/2023, 15:53:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.728142')
('09/25/2023, 15:53:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.075616')
('09/25/2023, 15:53:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.192608')
('09/25/2023, 15:53:03', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.527210')
('09/25/2023, 15:53:03', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.746685')
('09/25/2023, 15:53:03', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.122692')
('09/25/2023, 15:53:04', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.833239')
('09/25/2023, 15:53:04', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.176986')
('09/25/2023, 15:53:05', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.921999')
('09/25/2023, 15:54:56', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_natural gas', 'additions', 6647, 'duration:', '0:01:50.892688')
('09/25/2023, 15:55:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_nickel', 'additions', 359, 'duration:', '0:00:05.810715')
('09/25/2023, 15:55:03', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_palladium', 'additions', 35, 'duration:', '0:00:00.560746')
('09/25/2023, 15:55:06', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:03.147759')
('09/25/2023, 15:55:09', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.551362')
('09/25/2023, 15:55:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_platinum', 'additions', 163, 'duration:', '0:00:02.631819')
('09/25/2023, 15:55:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.501924')
('09/25/2023, 15:55:13', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.192210')
('09/25/2023, 15:55:23', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_sand', 'additions', 609, 'duration:', '0:00:10.476175')
('09/25/2023, 15:55:23', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.015472')
('09/25/2023, 15:55:25', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_silicon', 'additions', 127, 'duration:', '0:00:02.140908')
('09/25/2023, 15:55:26', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_silver', 'additions', 50, 'duration:', '0:00:00.844091')
('09/25/2023, 15:55:26', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.032141')
('09/25/2023, 15:55:26', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.032711')
('09/25/2023, 15:55:26', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.083387')
('09/25/2023, 15:55:27', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_vegetable oil', 'additions', 37, 'duration:', '0:00:00.619721')
('09/25/2023, 15:58:42', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_water', 'additions', 11815, 'duration:', '0:03:14.826921')
('09/25/2023, 15:58:46', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'MaterialDemand_zinc', 'additions', 253, 'duration:', '0:00:04.208712')
('09/25/2023, 15:58:46', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.418682')
('09/25/2023, 15:58:47', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.265155')
('09/25/2023, 15:58:47', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.061527')
('09/25/2023, 15:58:54', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_hazardous_cubicmeter', 'additions', 461, 'duration:', '0:00:07.715916')
('09/25/2023, 15:59:31', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_hazardous_kilogram', 'additions', 2245, 'duration:', '0:00:36.651782')
('09/25/2023, 15:59:31', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.031274')
('09/25/2023, 16:00:32', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_incineration_kilogram', 'additions', 3032, 'duration:', '0:01:00.711659')
('09/25/2023, 16:00:32', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.063348')
('09/25/2023, 16:01:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_landfill_kilogram', 'additions', 1724, 'duration:', '0:00:40.250334')
('09/25/2023, 16:02:26', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_non_hazardous_cubicmeter', 'additions', 4435, 'duration:', '0:01:14.329655')
('09/25/2023, 16:10:40', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_non_hazardous_kilogram', 'additions', 29775, 'duration:', '0:08:13.584177')
('09/25/2023, 16:10:49', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:08.843803')
('09/25/2023, 16:10:51', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_recycling_kilogram', 'additions', 150, 'duration:', '0:00:02.498784')
('09/25/2023, 16:12:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_total_cubicmeter', 'additions', 4896, 'duration:', '0:01:20.651771')
('09/25/2023, 16:20:57', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2050', 'waste_total_kilogram', 'additions', 32020, 'duration:', '0:08:44.800416')
('09/25/2023, 16:22:11', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_antimony', 'additions', 23, 'duration:', '0:00:00.526858')
('09/25/2023, 16:22:12', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_bauxite', 'additions', 28, 'duration:', '0:00:00.601483')
('09/25/2023, 16:22:12', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_borates', 'additions', 15, 'duration:', '0:00:00.314420')
('09/25/2023, 16:22:14', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_cobalt', 'additions', 152, 'duration:', '0:00:02.253850')
('09/25/2023, 16:22:16', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_coke', 'additions', 110, 'duration:', '0:00:01.557091')
('09/25/2023, 16:22:29', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_copper', 'additions', 971, 'duration:', '0:00:13.441122')
('09/25/2023, 16:27:29', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_electricity', 'additions', 23130, 'duration:', '0:04:59.381753')
('09/25/2023, 16:27:29', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_fluorspar', 'additions', 29, 'duration:', '0:00:00.498378')
('09/25/2023, 16:27:29', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_gallium', 'additions', 3, 'duration:', '0:00:00.051808')
('09/25/2023, 16:27:29', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_gold', 'additions', 9, 'duration:', '0:00:00.148644')
('09/25/2023, 16:27:30', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_graphite', 'additions', 31, 'duration:', '0:00:00.553972')
('09/25/2023, 16:27:31', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_helium', 'additions', 44, 'duration:', '0:00:00.820047')
('09/25/2023, 16:27:31', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_indium', 'additions', 8, 'duration:', '0:00:00.128642')
('09/25/2023, 16:27:32', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_latex', 'additions', 50, 'duration:', '0:00:00.928460')
('09/25/2023, 16:27:32', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_lithium', 'additions', 10, 'duration:', '0:00:00.179543')
('09/25/2023, 16:27:33', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_magnesium', 'additions', 53, 'duration:', '0:00:00.925027')
('09/25/2023, 16:28:03', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_natural gas', 'additions', 1757, 'duration:', '0:00:30.383285')
('09/25/2023, 16:28:09', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_nickel', 'additions', 359, 'duration:', '0:00:06.139306')
('09/25/2023, 16:28:10', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_palladium', 'additions', 35, 'duration:', '0:00:00.591346')
('09/25/2023, 16:28:13', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_petroleum', 'additions', 195, 'duration:', '0:00:03.279125')
('09/25/2023, 16:28:17', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_phosphate rock', 'additions', 207, 'duration:', '0:00:03.711677')
('09/25/2023, 16:28:20', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_platinum', 'additions', 163, 'duration:', '0:00:02.562265')
('09/25/2023, 16:28:20', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_rare earth', 'additions', 31, 'duration:', '0:00:00.511073')
('09/25/2023, 16:28:20', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_rhodium', 'additions', 11, 'duration:', '0:00:00.187316')
('09/25/2023, 16:28:31', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_sand', 'additions', 609, 'duration:', '0:00:10.191077')
('09/25/2023, 16:28:31', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_scandium', 'additions', 1, 'duration:', '0:00:00.021519')
('09/25/2023, 16:28:33', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_silicon', 'additions', 127, 'duration:', '0:00:02.109309')
('09/25/2023, 16:28:33', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_silver', 'additions', 50, 'duration:', '0:00:00.830541')
('09/25/2023, 16:28:34', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_strontium', 'additions', 2, 'duration:', '0:00:00.032738')
('09/25/2023, 16:28:34', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_tantalum', 'additions', 2, 'duration:', '0:00:00.041036')
('09/25/2023, 16:28:34', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_tungsten', 'additions', 5, 'duration:', '0:00:00.085979')
('09/25/2023, 16:28:34', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_vegetable oil', 'additions', 37, 'duration:', '0:00:00.658075')
('09/25/2023, 16:31:51', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_water', 'additions', 11815, 'duration:', '0:03:16.898385')
('09/25/2023, 16:31:55', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'MaterialDemand_zinc', 'additions', 253, 'duration:', '0:00:04.219228')
('09/25/2023, 16:31:56', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_composting_kilogram', 'additions', 26, 'duration:', '0:00:00.425098')
('09/25/2023, 16:31:56', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_digestion_cubicmeter', 'additions', 16, 'duration:', '0:00:00.301379')
('09/25/2023, 16:31:56', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_digestion_kilogram', 'additions', 4, 'duration:', '0:00:00.065991')
('09/25/2023, 16:32:04', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_hazardous_cubicmeter', 'additions', 461, 'duration:', '0:00:07.805054')
('09/25/2023, 16:32:41', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_hazardous_kilogram', 'additions', 2245, 'duration:', '0:00:37.054846')
('09/25/2023, 16:32:41', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_incineration_cubicmeter', 'additions', 2, 'duration:', '0:00:00.029447')
('09/25/2023, 16:33:32', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_incineration_kilogram', 'additions', 3032, 'duration:', '0:00:50.537238')
('09/25/2023, 16:33:32', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_landfill_cubicmeter', 'additions', 2, 'duration:', '0:00:00.031817')
('09/25/2023, 16:34:00', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_landfill_kilogram', 'additions', 1724, 'duration:', '0:00:28.229395')
('09/25/2023, 16:35:13', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_non_hazardous_cubicmeter', 'additions', 4435, 'duration:', '0:01:13.262025')
('09/25/2023, 16:43:21', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_non_hazardous_kilogram', 'additions', 29775, 'duration:', '0:08:07.501027')
('09/25/2023, 16:43:30', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_open_burning_kilogram', 'additions', 535, 'duration:', '0:00:08.965241')
('09/25/2023, 16:43:32', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_recycling_kilogram', 'additions', 150, 'duration:', '0:00:02.431708')
('09/25/2023, 16:44:52', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_total_cubicmeter', 'additions', 4896, 'duration:', '0:01:20.290822')
('09/25/2023, 16:53:37', 'ecoinvent_cutoff_3.9_remind_SSP5-Base_2050', 'waste_total_kilogram', 'additions', 32020, 'duration:', '0:08:44.442618')
